SKU,BRANCH,STOCK
03TJU1601TS2036,007,1.00
03TJU1601TS2037,001,0.00
03TJU1601TS2037,003,0.00
03TJU1601TS2039,003,0.00
04306002,003,0.00
04306002,004,0.00
04306002,007,0.00
04306003,001,0.00
04306003,003,0.00
04306003,004,0.00
04306003,006,0.00
04306003,007,0.00
04306004,001,0.00
04306004,003,0.00
04306004,004,0.00
04306004,006,0.00
04306004,007,0.00
04306005,001,0.00
04306005,003,0.00
04306005,004,0.00
04306005,007,0.00
04306006,001,0.00
04306006,003,0.00
04306006,004,0.00
04306006,006,0.00
04306006,007,0.00
04306007,001,0.00
04306007,003,0.00
04306007,004,0.00
04306007,006,0.00
04306007,007,0.00
04306008,001,0.00
04306008,003,0.00
04306008,004,0.00
04306008,006,0.00
04306009,003,0.00
04306009,006,0.00
04306010,003,0.00
04306010,004,0.00
04306010,006,0.00
04306011,001,0.00
04306011,003,0.00
04306011,004,0.00
04306011,006,2.00
04306011,111,0.00
04306012,001,0.00
04306012,003,0.00
04306012,004,0.00
04306012,006,0.00
04306012,111,0.00
04306013,001,0.00
04306013,003,0.00
04306013,004,0.00
04306013,006,0.00
04306013,007,0.00
04306013,111,0.00
04306014,001,0.00
04306014,003,0.00
04306014,004,0.00
04306014,006,0.00
04306014,111,0.00
04306015,001,0.00
04306015,003,0.00
04306015,004,0.00
04306015,006,0.00
04306016,001,0.00
04306016,003,0.00
04306016,004,0.00
04306016,006,0.00
04306016,007,0.00
04306016,111,0.00
043994002,003,0.00
043994002,006,1.00
043994002,007,0.00
043994003,007,0.00
043994004,003,0.00
043994004,006,1.00
043994004,007,0.00
043994005,003,0.00
043994005,006,0.00
043994005,007,0.00
043994006,001,0.00
043994006,003,0.00
043994006,007,0.00
043994007,001,0.00
043994007,003,0.00
043994007,007,0.00
043994008,003,0.00
043994008,007,0.00
043994009,001,0.00
043994009,003,0.00
043994009,007,0.00
043994010,003,0.00
043994010,007,0.00
043994011,003,0.00
043994011,007,0.00
043994012,003,0.00
043994012,007,0.00
043994014,007,0.00
043994016,007,0.00
044012002,007,1.00
044012003,007,0.00
044012004,007,2.00
044012005,007,0.00
044012006,007,0.00
044012007,007,0.00
044012008,007,0.00
044012009,007,0.00
044012010,007,0.00
044012011,007,1.00
044012012,006,1.00
044012012,007,0.00
044012017,007,1.00
044012018,007,0.00
044012020,007,0.00
044012021,007,0.00
044012022,007,0.00
044012023,007,0.00
044012024,006,1.00
044012024,007,0.00
044012025,007,0.00
044012026,001,0.00
044012026,007,0.00
044012027,006,1.00
044012027,007,0.00
044013002,007,0.00
044013003,006,0.00
044013003,007,0.00
044013004,004,0.00
044013004,007,0.00
044013005,007,0.00
044013006,007,0.00
044013007,007,0.00
044013008,007,0.00
044013009,007,0.00
044013010,007,0.00
044013011,007,0.00
044013012,007,0.00
044028003,003,0.00
044028004,007,0.00
044028006,007,0.00
044028007,007,0.00
044028008,007,0.00
044028009,007,0.00
044028010,007,0.00
044028012,007,0.00
044028014,004,0.00
044028017,006,1.00
044028017,007,0.00
044028018,006,1.00
044028018,007,0.00
044028020,006,1.00
044028020,007,0.00
044028021,006,1.00
044028021,007,0.00
044028022,007,0.00
044028023,006,0.00
044028023,007,0.00
044028025,007,0.00
044028026,007,0.00
044089002,001,0.00
044089002,003,0.00
044089002,004,1.00
044089003,001,0.00
044089003,003,0.00
044089003,004,1.00
044089003,006,0.00
044089004,001,0.00
044089004,003,0.00
044089004,004,0.00
044089004,006,0.00
044089005,001,0.00
044089005,003,0.00
044089005,004,1.00
044089005,006,0.00
044089006,001,0.00
044089006,003,0.00
044089006,004,0.00
044089006,006,0.00
044089007,001,0.00
044089007,003,0.00
044089007,004,0.00
044089010,001,0.00
044089010,003,0.00
044089010,004,0.00
044089011,001,0.00
044089011,003,0.00
044089011,004,1.00
044089012,001,0.00
044089012,003,0.00
044089012,004,0.00
044089012,006,1.00
044089013,001,0.00
044089013,003,1.00
044089013,004,1.00
044089013,006,0.00
044089014,001,0.00
044089014,003,0.00
044089014,004,1.00
044089014,007,0.00
044089015,001,0.00
044089015,003,0.00
044089015,004,1.00
044089018,001,0.00
044089018,003,0.00
044089018,004,0.00
044089018,006,0.00
044089019,001,0.00
044089019,003,0.00
044089019,004,1.00
044089019,006,0.00
044089020,001,0.00
044089020,003,0.00
044089020,004,0.00
044089020,006,0.00
044089021,001,0.00
044089021,003,0.00
044089021,004,1.00
044089021,006,0.00
044089022,001,0.00
044089022,003,0.00
044089022,004,0.00
044089022,006,0.00
044089023,001,0.00
044089023,004,0.00
044089023,006,0.00
044091002,003,0.00
044091002,004,0.00
044091003,001,0.00
044091003,004,0.00
044091003,006,1.00
044091004,003,0.00
044091004,004,0.00
044091004,006,0.00
044091005,001,0.00
044091005,003,0.00
044091005,004,0.00
044091006,001,0.00
044091006,004,0.00
044091006,006,0.00
044091007,004,0.00
044091007,006,0.00
044091010,003,0.00
044091010,004,0.00
044091011,001,0.00
044091011,004,0.00
044091011,006,0.00
044091012,001,0.00
044091012,003,0.00
044091012,004,0.00
044091012,006,0.00
044091013,001,0.00
044091013,004,0.00
044091013,006,0.00
044091014,004,0.00
044091014,006,0.00
044091015,004,1.00
0500CRAW002,001,0.00
0500CRAW002,006,0.00
0500CRAW003,001,0.00
0500CRAW003,003,0.00
0500CRAW003,006,0.00
0500CRAW004,001,0.00
0500CRAW004,006,0.00
0500CRAW005,001,0.00
0500CRAW005,006,0.00
0500CRAW006,001,0.00
0500CRAW006,006,0.00
0500CRAW007,001,0.00
0500CRAW007,006,0.00
0500CRAW008,001,0.00
0500CRAW008,006,0.00
0500CRAW009,001,0.00
0500CRAW009,006,0.00
0500CRAW010,001,1.00
0500CRAW010,004,0.00
0500CRAW010,006,0.00
0500CRAW011,001,0.00
0500CRAW011,006,0.00
0500CRAW012,001,0.00
0500CRAW012,006,0.00
0500CRAW013,001,0.00
0500CRAW013,006,0.00
05117002,003,0.00
05117003,003,0.00
05117003,004,0.00
05117003,006,0.00
05117004,003,0.00
05117004,004,0.00
05117004,005,0.00
05117004,006,0.00
05117005,003,0.00
05117005,004,0.00
05117005,005,0.00
05117005,006,0.00
05117006,003,0.00
05117006,004,0.00
05117006,006,0.00
05117007,003,0.00
05218002,003,0.00
05218002,004,0.00
05218002,007,0.00
05218003,001,0.00
05218003,003,0.00
05218003,004,0.00
05218003,006,1.00
05218003,007,0.00
05218003,111,0.00
05218004,003,0.00
05218004,004,1.00
05218004,006,0.00
05218004,007,0.00
05218004,111,0.00
05218005,001,0.00
05218005,003,0.00
05218005,004,0.00
05218005,006,0.00
05218005,007,0.00
05218006,003,0.00
05218006,004,0.00
05218006,006,0.00
05218006,111,0.00
05218010,003,0.00
05218010,004,0.00
05218010,006,0.00
05218011,003,1.00
05218011,004,0.00
05218011,006,0.00
05218012,003,0.00
05218012,004,0.00
05218013,003,0.00
05218013,004,0.00
05218013,006,0.00
05218J002,003,0.00
05218J002,004,0.00
05218J003,003,0.00
05218J003,004,0.00
05218J003,006,0.00
05218J004,003,0.00
05218J004,004,0.00
05218J004,006,0.00
05218J005,003,0.00
05218J005,004,0.00
05218J005,006,0.00
0562 625 63014,001,0.00
0562 625 63014,003,0.00
0562 625 63014,004,0.00
0562 625 63014,007,0.00
0562 625 63015,001,0.00
0562 625 63015,003,0.00
0562 625 63015,004,0.00
0562 625 63015,006,0.00
0562 625 63015,007,0.00
0562 625 63018,001,0.00
0562 625 63018,003,0.00
0562 625 63018,004,0.00
0562 625 63018,006,0.00
0562 625 63018,007,0.00
0562 625 63020,003,0.00
0562 625 63020,004,0.00
0562 625 63020,006,0.00
0562 625 63020,007,0.00
0562 625 63024,001,0.00
0562 625 63024,003,0.00
0562 625 63024,004,0.00
0562 625 63024,006,0.00
0562 625 63024,007,0.00
0562 625 63026,001,0.00
0562 625 63026,003,0.00
0562 625 63026,004,0.00
0562 625 63026,006,1.00
0562 625 63026,007,0.00
0562 625 63028,001,0.00
0562 625 63028,003,0.00
0562 625 63028,004,0.00
0562 625 63028,006,0.00
0562 625 63028,007,0.00
0562 625 63029,001,0.00
0562 625 63029,003,0.00
0562 625 63029,004,0.00
0562 625 63029,006,0.00
0562 625 63029,007,0.00
0562 625 63030,001,0.00
0562 625 63030,003,0.00
0562 625 63030,004,0.00
0562 625 63030,006,0.00
0562 625 63030,007,0.00
0562 625 63031,001,0.00
0562 625 63031,003,0.00
0562 625 63031,004,0.00
0562 625 63031,005,0.00
0562 625 63031,006,0.00
0562 625 63031,007,0.00
0562 625 63032,003,0.00
0562 625 63032,004,0.00
0562 625 63032,006,0.00
0562 625 63036,001,0.00
0562 625 63036,003,0.00
0562 625 63036,004,0.00
0562 625 63036,006,0.00
0562 625 63036,007,0.00
0562 625 63038,004,0.00
0562 625 63038,006,0.00
0562 625 63038,007,0.00
0562 625 63041,003,0.00
0562 625 63041,004,0.00
0562 625 63041,006,0.00
0562 625 63044,004,0.00
0562 625 63044,006,1.00
0562 625 63044,007,0.00
0562_625_63002,001,0.00
0562_625_63002,003,0.00
0562_625_63002,004,0.00
0562_625_63002,006,0.00
0562_625_63002,007,0.00
0562_625_63003,001,0.00
0562_625_63003,003,0.00
0562_625_63003,004,0.00
0562_625_63003,006,0.00
0562_625_63003,007,0.00
0562_625_63004,001,0.00
0562_625_63004,003,0.00
0562_625_63004,004,0.00
0562_625_63004,006,0.00
0562_625_63004,007,0.00
0562_625_63005,001,0.00
0562_625_63005,003,0.00
0562_625_63005,004,0.00
0562_625_63005,006,1.00
0562_625_63005,007,0.00
0562_625_63006,001,0.00
0562_625_63006,003,0.00
0562_625_63006,004,0.00
0562_625_63006,007,0.00
0562_625_63009,001,0.00
0562_625_63009,003,0.00
0562_625_63009,004,0.00
0562_625_63009,006,0.00
0562_625_63009,007,0.00
0562_625_63010,001,0.00
0562_625_63010,003,0.00
0562_625_63010,004,0.00
0562_625_63010,006,0.00
0562_625_63010,007,0.00
0562_625_63011,001,0.00
0562_625_63011,003,0.00
0562_625_63011,004,0.00
0562_625_63011,006,0.00
0562_625_63011,007,0.00
0562_625_63012,001,0.00
0562_625_63012,003,0.00
0562_625_63012,004,0.00
0562_625_63012,006,0.00
0562_625_63012,007,0.00
0562_625_63013,001,0.00
0562_625_63013,003,0.00
0562_625_63013,004,0.00
0562_625_63013,006,0.00
0562_625_63013,007,0.00
0562_625_63014,001,0.00
0562_625_63014,003,0.00
0562_625_63014,004,0.00
0562_625_63014,006,0.00
0562_625_63014,007,0.00
0562_625_63016,001,0.00
0562_625_63016,003,0.00
0562_625_63016,004,0.00
0562_625_63016,006,0.00
0562_625_63016,007,0.00
0562_625_63017,001,0.00
0562_625_63017,003,0.00
0562_625_63017,004,0.00
0562_625_63017,006,0.00
0562_625_63017,007,0.00
0562_625_63018,001,0.00
0562_625_63018,003,0.00
0562_625_63018,004,0.00
0562_625_63018,006,0.00
0562_625_63018,007,0.00
0562_625_63019,001,0.00
0562_625_63019,003,0.00
0562_625_63019,004,0.00
0562_625_63019,006,0.00
0562_625_63019,007,0.00
0562_625_63020,001,0.00
0562_625_63020,003,0.00
0562_625_63020,004,0.00
0562_625_63020,006,0.00
0562_625_63020,007,0.00
0562_625_63021,001,0.00
0562_625_63021,003,0.00
0562_625_63021,004,0.00
0562_625_63021,006,0.00
0562_625_63021,007,0.00
0562_625_97002,001,0.00
0562_625_97002,003,0.00
0562_625_97002,004,0.00
0562_625_97002,006,0.00
0562_625_97002,007,0.00
0562_625_97003,001,0.00
0562_625_97003,003,0.00
0562_625_97003,004,0.00
0562_625_97003,006,0.00
0562_625_97003,007,0.00
0562_625_97004,001,0.00
0562_625_97004,003,0.00
0562_625_97004,004,0.00
0562_625_97004,006,0.00
0562_625_97004,007,0.00
0562_625_97005,001,0.00
0562_625_97005,003,0.00
0562_625_97005,004,0.00
0562_625_97005,006,0.00
0562_625_97005,007,0.00
056262563002,003,0.00
056262563002,007,0.00
056262563003,001,0.00
056262563003,003,0.00
056262563003,004,0.00
056262563003,006,0.00
056262563003,007,0.00
056262563004,001,0.00
056262563004,003,0.00
056262563004,004,0.00
056262563004,006,0.00
056262563004,007,0.00
